,dateTime,wtr_0.0,wtr_1.0,wtr_2.0,wtr_3.0,wtr_4.0,wtr_5.0,Month,year,month,day,hour,minutes,seconds
95,2020-11-26 12:00:01,1.649,2.165,2.541,3.0039999999999996,4.4239999999999995,5.415,,2020,11,26,12,0,1
96,2020-11-26 14:00:01,1.649,2.165,2.541,3.0039999999999996,4.4239999999999995,5.415,,2020,11,26,14,0,1
97,2020-11-26 16:00:01,1.649,2.165,2.541,3.0039999999999996,4.487,5.415,,2020,11,26,16,0,1
98,2020-11-26 18:00:01,1.649,2.165,2.541,3.0039999999999996,4.487,5.415,,2020,11,26,18,0,1
99,2020-11-26 20:00:01,1.649,2.165,2.6039999999999996,3.0039999999999996,4.4239999999999995,5.415,,2020,11,26,20,0,1
100,2020-11-26 22:00:01,1.649,2.165,2.6039999999999996,3.0039999999999996,4.487,5.415,,2020,11,26,22,0,1
101,2020-11-27 00:00:01,1.649,2.165,2.541,3.0039999999999996,4.487,5.415,,2020,11,27,0,0,1
102,2020-11-27 02:00:01,1.649,2.165,2.6039999999999996,3.0039999999999996,4.487,5.415,,2020,11,27,2,0,1
103,2020-11-27 04:00:01,1.649,2.165,2.6039999999999996,3.0039999999999996,4.487,5.415,,2020,11,27,4,0,1
104,2020-11-27 06:00:01,1.649,2.165,2.6039999999999996,3.0039999999999996,4.487,5.415,,2020,11,27,6,0,1
105,2020-11-27 08:00:01,1.649,2.165,2.6039999999999996,3.0039999999999996,4.487,5.415,,2020,11,27,8,0,1
106,2020-11-27 10:00:01,1.649,2.228,2.6039999999999996,3.0039999999999996,4.487,5.415,,2020,11,27,10,0,1
107,2020-11-27 12:00:01,1.649,2.228,2.6039999999999996,3.0669999999999997,4.487,5.415,,2020,11,27,12,0,1
108,2020-11-27 14:00:01,1.649,2.228,2.6039999999999996,3.0039999999999996,4.487,5.415,,2020,11,27,14,0,1
109,2020-11-27 16:00:01,1.649,2.165,2.6039999999999996,3.0039999999999996,4.487,5.415,,2020,11,27,16,0,1
110,2020-11-27 18:00:01,1.649,2.228,2.6039999999999996,3.0039999999999996,4.487,5.478,,2020,11,27,18,0,1
